timestamp,gpu_util,gpu_mem
1719348424.4288063,0.0,4.0
1719348424.5646565,0.0,4.0
1719348424.703719,0.0,4.0
1719348424.850048,0.0,21.0
1719348425.0098848,0.0,633.0
1719348425.149556,7.0,633.0
1719348425.3371205,1.0,633.0
1719348425.4790967,0.0,633.0
1719348425.619359,0.0,633.0
1719348425.76157,0.0,633.0
1719348425.8995996,0.0,633.0
1719348426.0398228,0.0,965.0
1719348426.1800053,0.0,965.0
1719348426.3194323,9.0,1093.0
1719348426.4599252,9.0,1221.0
1719348426.6018765,3.0,1221.0
1719348426.7431695,3.0,1349.0
1719348426.8826346,3.0,1477.0
1719348427.0222807,3.0,1477.0
1719348427.168191,3.0,6227.0
1719348427.309503,17.0,9877.0
1719348427.4497907,92.0,31033.0
1719348427.5906408,92.0,31033.0
1719348427.727503,95.0,33347.0
1719348427.8693647,81.0,50253.0
1719348428.0101528,81.0,50253.0
1719348428.1926835,100.0,50257.0
1719348428.343014,98.0,50257.0
1719348428.493215,93.0,50271.0
1719348428.642074,93.0,50271.0
1719348428.7970867,98.0,50271.0
1719348428.9666061,98.0,50271.0
1719348429.1175766,99.0,50271.0
1719348429.3037057,99.0,50271.0
1719348429.4529166,100.0,50271.0
1719348429.606155,100.0,50271.0
1719348429.7578967,100.0,50271.0
1719348429.9181712,70.0,50271.0
1719348430.07893,31.0,50271.0
1719348430.227526,31.0,50271.0
1719348430.3809185,100.0,50271.0
1719348430.5345569,99.0,50271.0
1719348430.6849356,100.0,50271.0
1719348430.8367019,100.0,50271.0
1719348430.9863672,100.0,50271.0
1719348431.1407752,100.0,50271.0
1719348431.2929053,39.0,50271.0
1719348431.4411075,91.0,50271.0
1719348431.6074734,91.0,50271.0
1719348431.7649007,100.0,50271.0
1719348431.9118314,99.0,50271.0
1719348432.0591724,100.0,50271.0
1719348432.2036333,100.0,50271.0
1719348432.3517547,100.0,50271.0
1719348432.5028732,77.0,50271.0
1719348432.6711142,45.0,50271.0
1719348432.8233397,45.0,50271.0
1719348433.0172162,100.0,50271.0
1719348433.1661966,99.0,50271.0
1719348433.313848,100.0,50271.0
1719348433.4644244,100.0,50271.0
1719348433.6141803,100.0,50271.0
1719348433.7616184,100.0,50271.0
1719348433.9396515,25.0,50271.0
1719348434.0928607,25.0,50271.0
1719348434.2454727,97.0,50271.0
1719348434.3972065,95.0,50271.0
1719348434.5501063,100.0,50271.0
1719348434.7045763,100.0,50271.0
1719348434.8605878,100.0,50271.0
1719348435.0101535,100.0,50271.0
1719348435.163929,74.0,50271.0
1719348435.3196216,44.0,50271.0
1719348435.4702945,44.0,50271.0
1719348435.6220436,100.0,50271.0
1719348435.774412,99.0,50271.0
1719348435.9251218,100.0,50271.0
1719348436.0747328,100.0,50271.0
1719348436.2237844,100.0,50271.0
1719348436.3721008,100.0,50271.0
1719348436.5187907,27.0,50271.0
1719348436.6683874,27.0,50271.0
1719348436.8497155,99.0,50271.0
1719348436.999873,99.0,50271.0
1719348437.1480231,100.0,50271.0
1719348437.3010745,100.0,50271.0
1719348437.4531646,100.0,50271.0
1719348437.6040788,100.0,50271.0
1719348437.7656753,67.0,50271.0
1719348437.9278402,37.0,50271.0
1719348438.0766242,100.0,50271.0
1719348438.226048,100.0,50271.0
1719348438.3767514,99.0,50271.0
1719348438.5259914,100.0,50271.0
1719348438.6779206,100.0,50271.0
1719348438.832578,100.0,50271.0
1719348438.9864888,100.0,50271.0
1719348439.1883337,31.0,50271.0
1719348439.3454027,31.0,50271.0
1719348439.5042036,92.0,50271.0
1719348439.6595337,100.0,50271.0
1719348439.8206275,93.0,50271.0
1719348439.98563,100.0,50271.0
1719348440.1364398,100.0,50271.0
1719348440.2889228,83.0,50271.0
1719348440.4435937,83.0,50271.0
1719348440.598276,49.0,50271.0
1719348440.7475886,100.0,50271.0
1719348440.8972142,100.0,50271.0
1719348441.0485215,99.0,50271.0
1719348441.1982718,100.0,50271.0
1719348441.34567,100.0,50271.0
1719348441.4926312,100.0,50271.0
1719348441.6437752,100.0,50271.0
1719348441.8007026,48.0,50271.0
1719348441.9573097,100.0,50271.0
1719348442.1105778,100.0,50271.0
1719348442.2683637,99.0,50271.0
1719348442.419951,100.0,50271.0
1719348442.574917,100.0,50271.0
1719348442.7281656,100.0,50271.0
1719348442.8804104,100.0,50271.0
1719348443.0867026,93.0,50271.0
1719348443.263253,93.0,50271.0
1719348443.4213722,100.0,50271.0
1719348443.574555,99.0,50271.0
1719348443.7323036,100.0,50271.0
1719348443.8853874,100.0,50271.0
1719348444.0420625,100.0,50271.0
1719348444.2007303,77.0,50271.0
1719348444.3708346,38.0,50271.0
1719348444.52204,100.0,50271.0
1719348444.6741397,100.0,50271.0
1719348444.8298,99.0,50271.0
1719348444.9853268,100.0,50271.0
1719348445.1386743,100.0,50271.0
1719348445.2901082,100.0,50271.0
1719348445.4409082,100.0,50271.0
1719348445.5929742,33.0,50271.0
1719348445.7437916,98.0,50271.0
1719348445.90281,98.0,50271.0
1719348446.0565462,99.0,50271.0
1719348446.2061627,100.0,50271.0
1719348446.3614945,100.0,50271.0
1719348446.5174365,100.0,50271.0
1719348446.6739042,100.0,50271.0
1719348446.8323624,69.0,50271.0
1719348446.9862585,60.0,50271.0
1719348447.1388462,60.0,50271.0
1719348447.3235378,100.0,50271.0
1719348447.528922,100.0,50271.0
1719348447.6817894,100.0,50271.0
1719348447.8376646,100.0,50271.0
1719348447.9916773,100.0,50271.0
1719348448.1443515,40.0,50271.0
1719348448.2969775,40.0,50271.0
1719348448.4487047,100.0,50271.0
1719348448.6387477,99.0,50271.0
1719348448.7929401,100.0,50271.0
1719348448.947372,100.0,50271.0
1719348449.1066668,100.0,50271.0
1719348449.2616858,100.0,50271.0
1719348449.416871,44.0,50271.0
1719348449.5725374,44.0,50271.0
1719348449.7433288,92.0,50271.0
1719348449.9024305,92.0,50271.0
1719348450.0525808,100.0,50271.0
1719348450.2037528,100.0,50271.0
1719348450.3535109,100.0,50271.0
1719348450.5012367,100.0,50271.0
1719348450.6503227,69.0,50271.0
1719348450.803445,69.0,50271.0
1719348450.958721,79.0,50271.0
1719348451.1562262,99.0,50271.0
1719348451.3188722,99.0,50271.0
1719348451.4713275,100.0,50271.0
1719348451.6232903,100.0,50271.0
1719348451.7751043,100.0,50271.0
1719348451.9577115,88.0,50271.0
1719348452.108753,58.0,50271.0
1719348452.2631447,100.0,50271.0
1719348452.4243705,93.0,50271.0
1719348452.582177,100.0,50271.0
1719348452.7345014,100.0,50271.0
1719348452.8926961,100.0,50271.0
1719348453.0450544,100.0,50271.0
1719348453.2023232,44.0,50271.0
1719348453.356733,44.0,50271.0
1719348453.5093818,100.0,50271.0
1719348453.6655,99.0,50271.0
1719348453.8185797,100.0,50271.0
1719348453.9724164,100.0,50271.0
1719348454.130271,100.0,50271.0
1719348454.2822704,100.0,50271.0
1719348454.4387407,43.0,50271.0
1719348454.5924792,43.0,50271.0
1719348454.7438931,75.0,50271.0
1719348454.893213,100.0,50271.0
1719348455.0402908,100.0,50271.0
1719348455.1906989,99.0,50271.0
1719348455.3456414,100.0,50271.0
1719348455.497068,100.0,50271.0
1719348455.6518674,92.0,50271.0
1719348455.8087416,46.0,50271.0
1719348455.9616404,46.0,50271.0
1719348456.1147013,100.0,50271.0
1719348456.2705503,92.0,50271.0
1719348456.4232337,92.0,50271.0
1719348456.5729284,100.0,50271.0
1719348456.7224684,100.0,50271.0
1719348456.8789814,100.0,50271.0
1719348457.0339315,30.0,50271.0
1719348457.193197,97.0,50271.0
1719348457.3664262,97.0,50271.0
1719348457.518581,99.0,50271.0
1719348457.6758978,100.0,50271.0
1719348457.881563,100.0,50271.0
1719348458.0375335,100.0,50271.0
1719348458.1905053,100.0,50271.0
1719348458.3448367,71.0,50271.0
1719348458.4956307,60.0,50271.0
1719348458.651107,100.0,50271.0
1719348458.8060923,100.0,50271.0
1719348459.0189335,99.0,50271.0
1719348459.171739,100.0,50271.0
1719348459.3238838,100.0,50271.0
1719348459.4736655,100.0,50271.0
1719348459.6216786,36.0,50271.0
1719348459.782123,36.0,50271.0
1719348459.9289827,100.0,50271.0
1719348460.0823505,99.0,50271.0
1719348460.2374043,100.0,50271.0
1719348460.3948534,100.0,50271.0
1719348460.547926,100.0,50271.0
1719348460.7009642,100.0,50271.0
1719348460.8518658,100.0,50271.0
1719348461.032242,52.0,50271.0
1719348461.2277124,100.0,50271.0
1719348461.3806696,99.0,50271.0
1719348461.536554,100.0,50271.0
1719348461.6931064,100.0,50271.0
1719348461.8461008,100.0,50271.0
1719348462.0001392,100.0,50271.0
1719348462.1562963,57.0,50271.0
1719348462.3095553,81.0,50271.0
1719348462.461334,81.0,50271.0
1719348462.6531863,99.0,50271.0
1719348462.8076985,99.0,50271.0
1719348462.9593012,100.0,50271.0
1719348463.1137109,100.0,50271.0
1719348463.2701626,86.0,50271.0
1719348463.424823,86.0,50271.0
1719348463.5774026,58.0,50271.0
1719348463.7281704,100.0,50271.0
1719348463.879539,100.0,50271.0
1719348464.030665,99.0,50271.0
1719348464.178492,100.0,50271.0
1719348464.3289428,100.0,50271.0
1719348464.4766834,100.0,50271.0
1719348464.6338918,100.0,50271.0
1719348464.790613,54.0,50271.0
1719348464.9461863,100.0,50271.0
1719348465.0987208,99.0,50271.0
1719348465.2612283,100.0,50271.0
1719348465.41311,100.0,50271.0
1719348465.5678535,100.0,50271.0
1719348465.7174485,100.0,50271.0
1719348465.8713892,52.0,50271.0
1719348466.0237322,52.0,50271.0
1719348466.1810162,100.0,50271.0
1719348466.3349261,99.0,50271.0
1719348466.4888933,100.0,50271.0
1719348466.6419706,100.0,50271.0
1719348466.797731,100.0,50271.0
1719348466.95389,100.0,50271.0
1719348467.1075852,100.0,50271.0
1719348467.2775822,54.0,50271.0
1719348467.4312732,100.0,50271.0
1719348467.5848043,99.0,50271.0
1719348467.7386086,100.0,50271.0
1719348467.8938901,100.0,50271.0
1719348468.0477827,100.0,50271.0
1719348468.2015066,100.0,50271.0
1719348468.3513231,100.0,50271.0
1719348468.5030408,57.0,50271.0
1719348468.6953301,100.0,50271.0
1719348468.8464143,100.0,50271.0
1719348468.9978986,99.0,50271.0
1719348469.1498969,100.0,50271.0
1719348469.306851,100.0,50271.0
1719348469.4602056,100.0,50271.0
1719348469.6146708,79.0,50271.0
1719348469.7649863,60.0,50271.0
1719348469.9203093,100.0,50271.0
1719348470.070995,100.0,50271.0
1719348470.2266529,99.0,50271.0
1719348470.37967,100.0,50271.0
1719348470.5330348,100.0,50271.0
1719348470.6898324,100.0,50271.0
1719348470.8485558,100.0,50271.0
1719348471.0024989,52.0,50271.0
1719348471.1564791,52.0,50271.0
1719348471.309238,100.0,50271.0
1719348471.4614573,99.0,50271.0
1719348471.61387,100.0,50271.0
1719348471.767204,100.0,50271.0
1719348471.9211838,100.0,50271.0
1719348472.075674,100.0,50271.0
1719348472.2387567,47.0,50271.0
1719348472.3957589,100.0,50271.0
1719348472.548827,100.0,50271.0
1719348472.7051563,100.0,50271.0
1719348472.8627295,100.0,50271.0
1719348473.017612,100.0,50271.0
1719348473.1740963,100.0,50271.0
1719348473.332919,50.0,50271.0
1719348473.4881818,50.0,50271.0
1719348473.647885,99.0,50271.0
1719348473.8026695,99.0,50271.0
1719348473.960343,100.0,50271.0
1719348474.1126144,100.0,50271.0
1719348474.2686481,100.0,50271.0
1719348474.4206889,100.0,50271.0
1719348474.5768974,100.0,50271.0
1719348474.7313828,68.0,50271.0
1719348474.8804064,83.0,50271.0
1719348475.0315573,100.0,50271.0
1719348475.187822,99.0,50271.0
1719348475.3455973,100.0,50271.0
1719348475.4972076,100.0,50271.0
1719348475.6514893,100.0,50271.0
1719348475.8118768,86.0,50271.0
1719348475.9779444,86.0,50271.0
1719348476.1289995,49.0,50271.0
1719348476.2845683,100.0,50271.0
1719348476.4397876,99.0,50271.0
1719348476.590024,100.0,50271.0
1719348476.7418458,100.0,50271.0
1719348476.8958771,100.0,50271.0
1719348477.0531025,100.0,50271.0
1719348477.2083185,44.0,50271.0
1719348477.36024,100.0,50271.0
1719348477.5198576,100.0,50271.0
1719348477.6704173,93.0,50271.0
1719348477.8211386,100.0,50271.0
1719348477.97089,100.0,50271.0
1719348478.1189768,100.0,50271.0
1719348478.2673411,100.0,50271.0
1719348478.4145844,100.0,50271.0
1719348478.5675483,52.0,50271.0
1719348478.764103,98.0,50271.0
1719348478.9220016,98.0,50271.0
1719348479.0729423,100.0,50271.0
1719348479.2262206,100.0,50271.0
1719348479.377664,100.0,50271.0
1719348479.530183,100.0,50271.0
1719348479.6810956,70.0,50271.0
1719348479.8334825,78.0,50271.0
1719348479.989589,100.0,50271.0
1719348480.144947,100.0,50271.0
1719348480.2989948,99.0,50271.0
1719348480.4539158,100.0,50271.0
1719348480.6078382,100.0,50271.0
1719348480.7594872,100.0,50271.0
1719348480.9151115,92.0,50271.0
