sample,timestamp
0,1719936972.4700954
1,1719936976.9846075
2,1719936981.6707294
3,1719936986.3086913
4,1719936990.82197
5,1719936995.2110746
6,1719936999.7130842
7,1719937004.236097
8,1719937008.7919545
9,1719937013.286917
10,1719937017.7486076
11,1719937022.3549185
12,1719937026.8875182
13,1719937031.4346964
14,1719937036.1118555
15,1719937040.703282
16,1719937045.28887
17,1719937049.8437326
18,1719937054.4157054
19,1719937058.990296
20,1719937063.4418569
21,1719937068.0331278
22,1719937072.6231892
23,1719937077.110147
24,1719937081.5479538
25,1719937086.2032058
26,1719937090.7585952
27,1719937095.3668597
28,1719937099.9418654
29,1719937104.6053858
30,1719937109.145512
31,1719937113.5528498
32,1719937117.9992478
33,1719937122.5132933
34,1719937126.983861
35,1719937131.5915635
36,1719937136.2415915
37,1719937140.9389017
38,1719937145.7876816
39,1719937150.580895
40,1719937155.3162115
41,1719937160.1168385
42,1719937164.841608
43,1719937169.745698
44,1719937174.4666004
45,1719937179.2383232
46,1719937183.9400344
47,1719937188.670114
48,1719937193.349467
49,1719937198.0315127
50,1719937202.7032108
51,1719937207.3613698
52,1719937211.9808502
53,1719937216.7373283
54,1719937221.4028666
55,1719937226.1652403
56,1719937230.9440987
57,1719937235.70854
58,1719937240.3628306
59,1719937245.123029
60,1719937249.7590964
61,1719937254.2467096
62,1719937258.9988453
63,1719937263.9258795
64,1719937268.7744226
65,1719937273.5556185
66,1719937278.4206488
67,1719937283.1682882
68,1719937287.9543355
69,1719937292.747532
70,1719937297.5403764
71,1719937302.267438
72,1719937306.955505
73,1719937311.665593
74,1719937316.272887
75,1719937320.9149396
76,1719937325.737585
77,1719937330.5536954
78,1719937335.225679
79,1719937339.8563526
80,1719937344.5614223
81,1719937349.2734768
82,1719937353.9741476
83,1719937358.6683183
84,1719937363.417291
85,1719937368.227502
86,1719937372.9905195
87,1719937377.7182095
88,1719937382.5479631
89,1719937387.3059635
90,1719937392.0254433
91,1719937396.7638757
92,1719937401.396197
93,1719937406.155817
94,1719937410.974248
95,1719937415.7135057
96,1719937420.539464
97,1719937425.4855702
98,1719937430.2244003
99,1719937434.843945
100,1719937439.4542458
101,1719937444.2296848
102,1719937449.0437565
103,1719937453.7997043
104,1719937458.5449257
105,1719937463.3353522
106,1719937468.1918902
107,1719937472.9206102
108,1719937477.6273713
109,1719937482.3656576
110,1719937487.0197089
111,1719937491.8970027
112,1719937496.5870752
113,1719937501.335658
114,1719937506.0290077
115,1719937510.8692205
116,1719937515.587426
117,1719937520.282159
118,1719937525.2346544
119,1719937529.9707744
120,1719937534.569568
121,1719937539.30867
122,1719937544.224154
123,1719937548.9793317
124,1719937553.6745596
125,1719937558.4885426
126,1719937563.2873778
127,1719937568.1425197
128,1719937572.8458962
129,1719937577.648496
130,1719937582.3758104
131,1719937587.1671734
132,1719937591.915052
133,1719937596.7192373
134,1719937601.5164351
135,1719937606.2915857
136,1719937611.0282292
137,1719937615.6485133
138,1719937620.4546432
139,1719937625.0556533
140,1719937629.7723608
141,1719937634.5103905
142,1719937639.2615037
143,1719937643.949389
144,1719937648.694051
145,1719937653.4909708
146,1719937658.1017866
147,1719937662.8745272
148,1719937667.5573723
149,1719937672.3789415
150,1719937677.13708
151,1719937681.9578226
152,1719937686.784534
153,1719937691.4757104
154,1719937696.0974755
155,1719937700.8083453
156,1719937705.6513977
157,1719937710.4249763
158,1719937715.1599472
159,1719937719.906212
160,1719937724.6689003
161,1719937729.3730645
162,1719937734.0724523
163,1719937738.721888
164,1719937743.5233574
165,1719937748.3979566
166,1719937753.1279495
167,1719937757.7933652
168,1719937762.5892322
169,1719937767.2984219
170,1719937772.0083888
171,1719937776.6459873
172,1719937781.4567478
173,1719937786.2329454
174,1719937791.020341
175,1719937795.879563
176,1719937800.767458
177,1719937805.4217246
178,1719937810.2021186
179,1719937814.8765986
180,1719937819.6461244
181,1719937824.4243064
182,1719937829.1625896
183,1719937833.9114318
184,1719937838.6315112
185,1719937843.459428
186,1719937848.3351238
187,1719937852.9389904
188,1719937857.7085967
189,1719937862.4541001
190,1719937867.2328238
191,1719937871.9004745
192,1719937876.7140372
193,1719937881.3771114
194,1719937886.1285312
195,1719937890.6676314
196,1719937895.4796922
197,1719937900.2264647
198,1719937904.9725688
199,1719937909.652434
200,1719937914.3464596
201,1719937919.0129385
202,1719937923.767239
203,1719937928.461308
204,1719937933.1411464
205,1719937937.83788
206,1719937942.5110366
207,1719937947.2271333
208,1719937951.9711354
209,1719937956.6499465
210,1719937961.4168365
211,1719937966.2015326
212,1719937970.8168557
213,1719937975.5074096
214,1719937980.308461
215,1719937984.8873034
216,1719937989.518483
217,1719937994.241528
218,1719937999.134403
219,1719938003.8213341
220,1719938008.483502
221,1719938013.166653
222,1719938018.0007606
223,1719938022.675826
224,1719938027.5610616
225,1719938032.432371
226,1719938037.181646
227,1719938041.8080602
228,1719938046.50421
229,1719938051.1921425
230,1719938055.667955
231,1719938060.2818186
232,1719938064.9365296
233,1719938069.6438644
234,1719938074.2709036
235,1719938078.9301727
236,1719938083.5987482
237,1719938088.5819554
238,1719938093.4718087
239,1719938098.3271792
240,1719938103.1739151
241,1719938107.9825158
242,1719938112.629366
243,1719938117.449852
244,1719938122.318087
245,1719938127.1366818
246,1719938131.6375
247,1719938136.4864008
248,1719938141.1490889
249,1719938145.9329913
250,1719938150.5528958
251,1719938155.3931286
252,1719938160.3025582
253,1719938165.1543956
254,1719938170.041956
255,1719938174.8866875
256,1719938179.615302
257,1719938184.2362783
258,1719938189.0387154
259,1719938193.839533
260,1719938198.5337048
261,1719938203.2436602
262,1719938208.0638626
263,1719938212.8597336
264,1719938217.6967022
265,1719938222.4344313
266,1719938227.2393177
267,1719938232.0449164
268,1719938236.7698517
269,1719938241.6008725
270,1719938246.4318025
271,1719938251.1757588
272,1719938255.9421315
273,1719938260.8240192
274,1719938265.4983556
275,1719938270.242181
276,1719938275.2785776
277,1719938280.0259535
278,1719938284.6820745
279,1719938289.3654985
280,1719938294.133168
281,1719938298.9059975
282,1719938303.5421474
283,1719938308.2896533
284,1719938313.0339053
285,1719938317.8855994
286,1719938322.5928376
287,1719938327.4187315
288,1719938332.1166866
289,1719938336.7866256
290,1719938341.6708388
291,1719938346.4573715
292,1719938351.1203046
293,1719938355.8954751
294,1719938360.6090794
295,1719938365.4035153
296,1719938370.109619
297,1719938374.9494867
298,1719938379.621761
299,1719938384.7461364
