timestamp,gpu_util,gpu_mem
1718648419.0616481,0.0,4.0
1718648419.1889138,0.0,4.0
1718648419.3165631,0.0,4.0
1718648419.4439125,0.0,21.0
1718648419.5834224,0.0,709.0
1718648419.7129502,7.0,709.0
1718648419.8379505,6.0,709.0
1718648419.9637215,6.0,709.0
1718648420.0928776,0.0,709.0
1718648420.219823,0.0,709.0
1718648420.3459167,0.0,709.0
1718648420.4720247,0.0,709.0
1718648420.5981612,0.0,709.0
1718648420.7265255,0.0,709.0
1718648420.8544846,0.0,709.0
1718648420.9806044,0.0,709.0
1718648421.1056955,0.0,709.0
1718648421.2302856,0.0,709.0
1718648421.355189,0.0,709.0
1718648421.4806051,0.0,709.0
1718648421.605537,0.0,709.0
1718648421.7321289,0.0,709.0
1718648421.861697,0.0,709.0
1718648421.9870749,0.0,709.0
1718648422.1116147,0.0,709.0
1718648422.2562284,0.0,709.0
1718648422.380702,0.0,709.0
1718648422.5051382,0.0,709.0
1718648422.6289077,0.0,709.0
1718648422.7535586,0.0,709.0
1718648422.8826394,0.0,709.0
1718648423.0081902,0.0,709.0
1718648423.133134,0.0,709.0
1718648423.2591991,0.0,709.0
1718648423.3951554,0.0,709.0
1718648423.5227673,0.0,709.0
1718648423.650773,0.0,709.0
1718648423.781977,0.0,709.0
1718648423.9107206,0.0,709.0
1718648424.0362413,0.0,709.0
1718648424.161333,0.0,709.0
1718648424.2856832,0.0,709.0
1718648424.4128633,0.0,709.0
1718648424.539641,0.0,709.0
1718648424.665431,0.0,709.0
1718648424.7907028,0.0,709.0
1718648424.9170387,0.0,709.0
1718648425.0411103,0.0,709.0
1718648425.1660268,0.0,709.0
1718648425.2923281,0.0,709.0
1718648425.4222667,0.0,709.0
1718648425.5511048,0.0,709.0
1718648425.6787531,0.0,709.0
1718648425.8084795,0.0,709.0
1718648425.9367473,0.0,709.0
1718648426.0632656,0.0,709.0
1718648426.1915166,0.0,709.0
1718648426.3187327,0.0,709.0
1718648426.446613,0.0,709.0
1718648426.5722945,0.0,709.0
1718648426.700425,0.0,709.0
1718648426.8267775,0.0,709.0
1718648426.9542954,0.0,709.0
1718648427.0842817,0.0,709.0
1718648427.2117927,0.0,709.0
1718648427.3387756,0.0,709.0
1718648427.468809,0.0,709.0
1718648427.5975142,0.0,709.0
1718648427.7259548,0.0,709.0
1718648427.8530254,0.0,709.0
1718648427.9827704,0.0,709.0
1718648428.1110685,0.0,709.0
1718648428.2396336,0.0,709.0
1718648428.3689198,0.0,709.0
1718648428.4974113,0.0,709.0
1718648428.6245215,0.0,709.0
