time,dice,epoch,samples_read
1718897664.8246267,-0.33123743534088135,0,1
1718897665.8206496,-0.2509777545928955,0,2
1718897667.850124,-0.19520831108093262,0,3
1718897669.7264936,-0.2058635950088501,0,4
1718897671.829708,-0.2349635362625122,0,5
1718897673.4322135,-0.12625467777252197,0,6
1718897675.1875036,-0.1427457332611084,0,7
1718897676.7367218,-0.19817328453063965,0,8
1718897678.6379452,-0.1875002384185791,0,9
1718897680.1628118,-0.13120734691619873,0,10
1718897681.8457153,-0.11826729774475098,1,11
1718897683.4727736,-0.12017321586608887,1,12
1718897685.3042288,-0.08393192291259766,1,13
1718897686.8599572,-0.11587440967559814,1,14
1718897688.4774225,-0.0784597396850586,1,15
1718897690.1342194,-0.05258369445800781,1,16
1718897692.175069,-0.1011958122253418,1,17
1718897693.8383358,-0.15024042129516602,1,18
1718897695.517683,-0.08926653861999512,1,19
1718897697.1432846,-0.08841872215270996,1,20
1718897698.947834,-0.07769739627838135,2,21
1718897700.5348227,-0.08578264713287354,2,22
1718897702.1524782,-0.05311930179595947,2,23
1718897703.7950046,-0.08655261993408203,2,24
1718897705.7073324,-0.06757104396820068,2,25
1718897707.284744,-0.002805471420288086,2,26
1718897709.0179548,-0.06433868408203125,2,27
1718897710.7287588,-0.12198865413665771,2,28
1718897712.6870527,-0.05622291564941406,2,29
1718897714.1335988,-0.05809807777404785,2,30
1718897715.7831523,-0.09211993217468262,3,31
1718897717.441074,-0.05346059799194336,3,32
1718897719.437318,-0.04647493362426758,3,33
1718897721.0680428,0.007219851016998291,3,34
1718897722.7703922,-0.0460813045501709,3,35
1718897724.279858,-0.05743217468261719,3,36
1718897726.052663,-0.04818892478942871,3,37
1718897727.6376684,-0.0908581018447876,3,38
1718897729.2540317,-0.09778296947479248,3,39
1718897730.9314291,-0.049161314964294434,3,40
1718897732.938635,-0.08017158508300781,4,41
1718897734.5070107,-0.042147159576416016,4,42
1718897736.1096928,-0.03826475143432617,4,43
1718897737.8073409,0.017564773559570312,4,44
1718897739.777905,-0.03434157371520996,4,45
1718897741.3141491,-0.05461740493774414,4,46
1718897743.0839233,-0.040110111236572266,4,47
1718897744.6214457,-0.08541381359100342,4,48
1718897746.3675852,-0.09372413158416748,4,49
1718897747.9548275,-0.0414583683013916,4,50
1718897749.585397,-0.07352685928344727,5,51
1718897751.30103,-0.03381764888763428,5,52
1718897753.2788658,-0.03331935405731201,5,53
1718897754.8584232,0.02328711748123169,5,54
1718897756.5058322,-0.03136765956878662,5,55
1718897758.178898,-0.04640233516693115,5,56
1718897760.1098287,-0.03678750991821289,5,57
1718897761.6784546,-0.08108854293823242,5,58
1718897763.3214374,-0.09072005748748779,5,59
1718897765.0574653,-0.038016438484191895,5,60
1718897767.0069594,-0.07120728492736816,6,61
1718897768.6287713,-0.030643463134765625,6,62
1718897770.248027,-0.030572891235351562,6,63
1718897771.9969568,0.02764296531677246,6,64
1718897773.9945214,-0.028062820434570312,6,65
1718897775.5788598,-0.04455399513244629,6,66
1718897777.2325487,-0.034090518951416016,6,67
1718897779.0042653,-0.0793839693069458,6,68
1718897781.1027,-0.08900046348571777,6,69
1718897782.614861,-0.0635913610458374,6,70
1718897784.2812693,-0.03762483596801758,7,71
1718897785.9701,-0.0887460708618164,7,72
1718897787.8828607,-0.06832170486450195,7,73
1718897789.4669752,0.004381775856018066,7,74
1718897791.2493725,-0.08050107955932617,7,75
1718897792.7913358,-0.029401659965515137,7,76
1718897794.6434696,0.012279272079467773,7,77
1718897796.2178032,-0.017876625061035156,7,78
1718897797.8418202,-0.0747382640838623,7,79
1718897799.5820162,-0.06152009963989258,7,80
1718897801.513792,-0.02946019172668457,8,81
1718897803.1094058,-0.09045660495758057,8,82
1718897804.7826817,-0.0653696060180664,8,83
1718897806.5440922,0.008256912231445312,8,84
1718897808.5767906,-0.07862067222595215,8,85
1718897810.1655202,-0.023276686668395996,8,86
1718897811.7938085,0.016144394874572754,8,87
1718897813.481635,-0.01667499542236328,8,88
1718897815.5355272,-0.07288336753845215,8,89
1718897817.1411355,-0.061141133308410645,8,90
1718897818.7823718,-0.027257680892944336,9,91
1718897820.5426316,-0.08786177635192871,9,92
1718897822.5550113,-0.06437039375305176,9,93
1718897824.1077502,0.011594116687774658,9,94
1718897825.7458155,-0.07755756378173828,9,95
1718897827.476406,-0.021225452423095703,9,96
1718897829.4304323,0.02152949571609497,9,97
1718897831.0437067,-0.013515472412109375,9,98
1718897832.7112346,-0.07174360752105713,9,99
1718897834.3486028,-0.05900168418884277,9,100
