time,gpu_util,gpu_mem,dice,epoch,samples_read
29.457292795181274,69.0,21844.0,-0.2508751153945923,0,1
36.591002225875854,99.0,21850.0,-0.29137086868286133,0,2
43.60903477668762,100.0,21850.0,-0.374769926071167,0,3
50.70993995666504,99.0,21857.0,-0.16136455535888672,0,4
57.74936270713806,99.0,21857.0,-0.2058277130126953,0,5
64.69733214378357,99.0,21850.0,-0.11987543106079102,0,6
71.78592705726624,99.0,21850.0,-0.10680866241455078,0,7
78.83980798721313,99.0,21850.0,-0.27720654010772705,0,8
85.88255572319031,99.0,21850.0,-0.14871525764465332,0,9
92.83273124694824,100.0,21858.0,-0.08307456970214844,0,10
100.43384122848511,99.0,21850.0,-0.0852046012878418,0,11
107.5000319480896,99.0,21850.0,-0.1567378044128418,0,12
114.54206657409668,100.0,21857.0,-0.09107160568237305,0,13
121.53220224380493,99.0,21857.0,-0.07294559478759766,0,14
128.5308403968811,99.0,21857.0,-0.1028895378112793,0,15
135.56845903396606,100.0,21842.0,-0.08115911483764648,0,16
142.5025396347046,100.0,21853.0,-0.06866991519927979,0,17
149.46745371818542,100.0,21860.0,-0.03109002113342285,0,18
156.44195127487183,99.0,21857.0,-0.027205944061279297,0,19
163.54473209381104,99.0,21855.0,-0.07182431221008301,0,20
171.7786602973938,99.0,21862.0,-0.021194934844970703,0,21
178.95402908325195,99.0,21867.0,-0.004354000091552734,0,22
186.10867595672607,100.0,21864.0,-0.01587378978729248,0,23
193.23174858093262,99.0,21862.0,-0.051788926124572754,0,24
200.37528276443481,99.0,21855.0,-0.08887457847595215,0,25
207.3899245262146,99.0,21839.0,0.02263695001602173,0,26
214.5856969356537,100.0,21839.0,0.031546831130981445,0,27
221.77975702285767,100.0,21844.0,0.013056516647338867,0,28
229.04512929916382,99.0,21844.0,-0.013657093048095703,0,29
236.29783487319946,100.0,21844.0,-0.017000675201416016,0,30
244.58579516410828,99.0,21869.0,-0.005834341049194336,0,31
251.43392395973206,100.0,21882.0,-0.023566722869873047,0,32
258.6046679019928,100.0,21847.0,0.051313936710357666,0,33
265.7657754421234,99.0,21866.0,-0.04546022415161133,0,34
272.8339169025421,99.0,21866.0,0.021856486797332764,0,35
279.9871656894684,99.0,21866.0,0.10204100608825684,0,36
287.0819139480591,99.0,21866.0,0.05283099412918091,0,37
294.25675988197327,99.0,21866.0,0.01582050323486328,0,38
301.39360451698303,100.0,21866.0,0.042183101177215576,0,39
308.57579016685486,100.0,21866.0,0.041223347187042236,0,40
316.69717502593994,99.0,21866.0,0.018501698970794678,0,41
323.5754301548004,99.0,21861.0,0.0962870717048645,0,42
330.7789752483368,99.0,21861.0,0.07758039236068726,0,43
337.97384881973267,99.0,21870.0,0.09369802474975586,0,44
345.1281247138977,99.0,21867.0,0.06552636623382568,0,45
352.18273282051086,100.0,21867.0,0.0965607762336731,0,46
359.30493783950806,99.0,21871.0,0.09448754787445068,0,47
