timestamp,gpu_util,gpu_mem
1719337201.0492222,0.0,4.0
1719337201.1805623,0.0,4.0
1719337201.3096461,0.0,4.0
1719337201.4403372,0.0,21.0
1719337201.5789118,0.0,601.0
1719337201.7089837,7.0,633.0
1719337201.8388875,7.0,633.0
1719337201.9696004,0.0,633.0
1719337202.0953262,0.0,633.0
1719337202.2191284,0.0,633.0
1719337202.3430274,0.0,633.0
1719337202.4668887,0.0,633.0
1719337202.5903757,0.0,633.0
1719337202.7139535,0.0,633.0
1719337202.8394756,0.0,633.0
1719337202.964573,0.0,633.0
1719337203.0918658,0.0,633.0
1719337203.2160096,0.0,633.0
1719337203.3399525,0.0,633.0
1719337203.4635098,0.0,633.0
1719337203.5869598,0.0,633.0
1719337203.7104309,0.0,633.0
1719337203.8338299,0.0,633.0
1719337203.9572167,0.0,633.0
1719337204.080529,0.0,633.0
1719337204.2068112,0.0,633.0
1719337204.3308709,0.0,633.0
1719337204.4549346,0.0,633.0
1719337204.5788767,0.0,633.0
1719337204.7025826,0.0,633.0
1719337204.8266761,0.0,633.0
1719337204.9507906,0.0,633.0
1719337205.074452,0.0,633.0
1719337205.2006097,0.0,633.0
