time,dice,epoch,samples_read
1719940142.3516452,-16.289682388305664,0,223
1719940142.507748,-16.289289474487305,0,224
1719940142.6638663,-16.288225173950195,0,225
1719940142.8601596,-16.290719985961914,0,226
1719940143.059075,-16.284812927246094,0,227
1719940143.2583451,-16.286075592041016,0,228
1719940143.4588554,-16.288707733154297,0,229
1719940143.6577585,-16.28544807434082,0,230
1719940147.7808118,-16.283506393432617,0,231
1719940147.94049,-16.282217025756836,0,232
1719940148.0961368,-16.280508041381836,0,233
1719940148.2525651,-16.278820037841797,0,234
1719940148.4091005,-16.277130126953125,0,235
1719940148.606726,-16.275753021240234,0,236
1719940148.8288767,-16.273759841918945,0,237
1719940149.0214095,-16.272079467773438,0,238
1719940149.2303104,-16.270694732666016,0,239
1719940149.422359,-16.269393920898438,0,240
1719940153.5642157,-16.268016815185547,0,241
1719940153.720713,-16.267057418823242,0,242
1719940153.883977,-16.265281677246094,0,243
1719940154.0405018,-16.263538360595703,0,244
1719940154.1967523,-16.262062072753906,0,245
1719940154.3904223,-16.260887145996094,0,246
1719940154.5911393,-16.259838104248047,0,247
1719940154.7920341,-16.257671356201172,0,248
1719940155.0061305,-16.256290435791016,0,249
1719940155.2083397,-16.255266189575195,0,250
1719940159.3276465,-16.253612518310547,0,251
1719940159.4852242,-16.251815795898438,0,252
1719940159.6400573,-16.250593185424805,0,253
1719940159.7960963,-16.249286651611328,0,254
1719940159.9537022,-16.247535705566406,0,255
1719940160.1574388,-16.24600601196289,0,256
1719940160.3629344,-16.24466896057129,0,257
1719940160.5606723,-16.243303298950195,0,258
1719940160.7654305,-16.24173355102539,0,259
1719940160.970098,-16.240327835083008,0,260
1719940165.0885856,-16.239503860473633,0,261
1719940165.2463312,-16.24151039123535,0,262
1719940165.401004,-16.237707138061523,0,263
1719940165.5570729,-16.237428665161133,0,264
1719940165.7142231,-16.23548126220703,0,265
1719940165.9160473,-16.23493003845215,0,266
1719940166.1189983,-16.232240676879883,0,267
1719940166.3205483,-16.232084274291992,0,268
1719940166.5276723,-16.230913162231445,0,269
1719940166.7278798,-16.229806900024414,0,270
1719940170.8566341,-16.22970962524414,0,271
1719940171.0142393,-16.22869110107422,0,272
1719940171.1694164,-16.224788665771484,0,273
1719940171.325391,-16.224170684814453,0,274
1719940171.4820185,-16.2227725982666,0,275
1719940171.700841,-16.219772338867188,0,276
1719940171.8887143,-16.21872329711914,0,277
1719940172.0899212,-16.217235565185547,0,278
1719940172.291972,-16.21575355529785,0,279
1719940172.4962325,-16.21441078186035,0,280
1719940176.6242828,-16.213802337646484,0,281
1719940176.7816162,-16.214311599731445,0,282
1719940176.9367523,-16.210493087768555,0,283
1719940177.0929923,-16.209217071533203,0,284
1719940177.2501974,-16.208831787109375,0,285
1719940177.4508367,-16.20547866821289,0,286
1719940177.6528628,-16.20409393310547,0,287
1719940177.8577259,-16.203359603881836,0,288
1719940178.0602455,-16.200876235961914,0,289
1719940178.2643154,-16.199068069458008,0,290
1719940182.3811615,-16.198484420776367,0,291
1719940182.5532985,-16.198566436767578,0,292
1719940182.7090588,-16.200471878051758,0,293
1719940182.8661447,-16.195941925048828,0,294
1719940183.0227463,-16.193857192993164,0,295
1719940183.2181668,-16.194549560546875,0,296
1719940183.411149,-16.192745208740234,0,297
1719940183.6250455,-16.19208526611328,0,298
1719940183.8288698,-16.188600540161133,0,299
1719940184.0196102,-16.18853759765625,0,300
1719940188.1698089,-16.186120986938477,0,301
1719940188.3274379,-16.18360137939453,0,302
1719940188.4831467,-16.181814193725586,0,303
1719940188.6392157,-16.180206298828125,0,304
1719940188.795661,-16.1785888671875,0,305
1719940188.9902928,-16.176612854003906,0,306
1719940189.1904268,-16.174957275390625,0,307
1719940189.3922558,-16.173160552978516,0,308
1719940189.5927663,-16.17131996154785,0,309
1719940189.7938595,-16.1696834564209,0,310
1719940193.9130373,-16.168184280395508,0,311
