step,learning rate,loss,macro_dice
1,0.0014632870748755521,17.59966163635254,0.03438806235790253
2,0.005467721959576012,17.46602592468262,0.043490320444107056
3,0.006129548605531453,17.256328582763672,0.04804818369448185
4,0.00560080767609179,16.978598976135256,0.06108651980757713
5,0.0046951477881520985,16.71538772583008,0.0743352510035038
