time,dice,epoch,samples_read
1719330430.366235,-16.80829429626465,0,1
1719330431.047235,-16.72625732421875,0,2
1719330432.3845284,-16.66930389404297,0,3
1719330433.7011528,-16.680377960205078,0,4
1719330435.133785,-16.625167846679688,0,5
1719330436.40765,-16.58856964111328,0,6
1719330437.7496722,-16.62267303466797,0,7
1719330439.050939,-16.54606056213379,0,8
1719330440.342789,-16.569488525390625,0,9
1719330441.6365166,-16.556760787963867,0,10
1719330442.92493,-16.53400421142578,1,11
1719330444.288289,-16.5437068939209,1,12
1719330445.5606532,-16.405719757080078,1,13
1719330446.8244824,-16.39267921447754,1,14
1719330448.095666,-16.443872451782227,1,15
1719330449.4937449,-16.362594604492188,1,16
1719330450.7892191,-16.307083129882812,1,17
1719330452.103893,-16.51641845703125,1,18
1719330453.3773255,-16.45275115966797,1,19
1719330454.705908,-16.398344039916992,1,20
1719330455.9777045,-16.316234588623047,2,21
1719330457.2902696,-16.310211181640625,2,22
1719330458.6206203,-16.29374122619629,2,23
1719330459.9599302,-16.282751083374023,2,24
1719330461.220736,-16.32221221923828,2,25
1719330462.5381894,-16.258955001831055,2,26
1719330463.8174198,-16.224056243896484,2,27
1719330465.151412,-16.300748825073242,2,28
1719330466.4219596,-16.340274810791016,2,29
1719330467.761295,-16.254985809326172,2,30
1719330469.0909219,-16.18637466430664,3,31
1719330470.4034095,-16.22097396850586,3,32
1719330471.689465,-16.31169319152832,3,33
1719330472.9658053,-16.2985897064209,3,34
1719330474.230084,-16.2083740234375,3,35
1719330475.5314066,-16.338335037231445,3,36
1719330476.7869172,-16.22520637512207,3,37
1719330478.0664945,-16.193599700927734,3,38
1719330479.4563162,-16.1876163482666,3,39
1719330480.715417,-16.177888870239258,3,40
1719330482.0420074,-16.12806510925293,4,41
1719330483.3221862,-16.182241439819336,4,42
1719330484.6506383,-16.257417678833008,4,43
1719330485.938054,-16.194561004638672,4,44
1719330487.2381155,-16.29461097717285,4,45
1719330488.4991703,-16.292587280273438,4,46
1719330489.8256423,-16.108051300048828,4,47
1719330491.082847,-16.196155548095703,4,48
1719330492.3765028,-16.228219985961914,4,49
1719330493.6762104,-16.15985679626465,4,50
1719330494.9592562,-16.093320846557617,5,51
1719330496.2125123,-16.111515045166016,5,52
1719330497.5131288,-16.222131729125977,5,53
1719330498.8006673,-16.19074821472168,5,54
1719330500.1774242,-16.154687881469727,5,55
1719330501.4267602,-16.22055435180664,5,56
1719330502.7646546,-16.099138259887695,5,57
1719330504.0784574,-16.112707138061523,5,58
1719330505.369386,-16.116544723510742,5,59
1719330506.6276834,-16.122699737548828,5,60
1719330507.8851779,-16.1165714263916,6,61
1719330509.1784208,-16.209877014160156,6,62
1719330510.462889,-16.117084503173828,6,63
1719330511.733634,-16.14221954345703,6,64
1719330513.0302541,-16.102914810180664,6,65
1719330514.392546,-16.162670135498047,6,66
1719330515.7143517,-16.06731414794922,6,67
1719330517.0413218,-16.113676071166992,6,68
1719330518.3155913,-16.10045051574707,6,69
1719330519.6249015,-16.15395736694336,6,70
1719330520.9197948,-16.11916160583496,7,71
1719330522.1989253,-16.091659545898438,7,72
1719330523.4659257,-16.11087989807129,7,73
1719330524.845825,-16.277629852294922,7,74
1719330526.0990183,-16.230863571166992,7,75
1719330527.396835,-16.30552864074707,7,76
1719330528.6985369,-16.12704086303711,7,77
1719330530.0603848,-16.09946632385254,7,78
1719330531.3166115,-16.121868133544922,7,79
1719330532.626983,-16.272388458251953,7,80
1719330533.9243586,-16.07853126525879,8,81
1719330535.271087,-16.06374168395996,8,82
1719330536.5197692,-16.149429321289062,8,83
1719330537.8080227,-16.008312225341797,8,84
1719330539.0986607,-16.168771743774414,8,85
1719330540.448252,-16.212984085083008,8,86
1719330541.7094226,-16.045259475708008,8,87
1719330543.0156834,-15.971548080444336,8,88
1719330544.315308,-16.054306030273438,8,89
1719330545.5919652,-16.190383911132812,8,90
1719330546.8576722,-15.993330001831055,9,91
1719330548.1025112,-15.998361587524414,9,92
1719330549.4716935,-16.025928497314453,9,93
1719330550.7739475,-15.955280303955078,9,94
1719330552.0842297,-16.116092681884766,9,95
1719330553.3698785,-16.158567428588867,9,96
1719330554.703968,-15.953634262084961,9,97
1719330555.9844801,-15.985738754272461,9,98
1719330557.2905715,-15.993728637695312,9,99
