samples_generated,elapsed_time,samples_per_second
1,26.788010835647583,0.03733013272748385
2,33.73796200752258,0.05928040346817802
3,40.55277991294861,0.07397766580835786
4,47.6087920665741,0.08401809469155552
5,54.48240089416504,0.0917727544663967
6,61.492412090301514,0.0975730142312357
7,68.29634261131287,0.10249450750003256
8,75.46519374847412,0.1060091361676489
9,82.34706497192383,0.10929351280544781
10,89.38877987861633,0.11187086358689867
11,96.22057056427002,0.11432066901591077
12,103.14383864402771,0.11634238319764949
13,110.08547401428223,0.11809005789731541
14,117.22900056838989,0.11942437393580423
15,124.06035876274109,0.12090888781554075
16,131.0134892463684,0.12212482922206812
17,137.76216292381287,0.12340108226524851
18,144.58853387832642,0.12449119938616496
19,151.3513491153717,0.12553571614030828
20,158.17045497894287,0.12644586501734845
21,164.87924885749817,0.12736593686298195
22,171.8145124912262,0.12804506255618797
23,178.67861223220825,0.12872273694464068
24,185.59701371192932,0.12931242545341337
25,192.29705286026,0.1300071926643993
26,199.16048002243042,0.13054798822071403
27,205.93236899375916,0.13111100567593745
28,212.83773851394653,0.13155561694790915
29,219.50483345985413,0.13211554179878182
30,226.45354342460632,0.13247750309541068
31,233.19199872016907,0.1329376658296071
32,239.9000072479248,0.13338890801670372
33,246.6552860736847,0.13378995652313622
34,253.59398674964905,0.13407257970026396
35,260.13216400146484,0.1345469912740314
36,267.08902978897095,0.1347865167972038
37,273.85292196273804,0.13510902032673738
38,280.86650228500366,0.13529559306947989
39,287.71623611450195,0.1355502231180281
40,294.77170157432556,0.13569823624983945
41,301.65083956718445,0.13591873325739037
42,308.4063169956207,0.13618398095456777
43,315.25301814079285,0.13639837694050588
44,322.3037989139557,0.13651716221857665
45,329.2436320781708,0.1366769031065599
46,336.3514392375946,0.13676171597263823
47,343.179571390152,0.1369545390176122
48,350.1280846595764,0.13709268722807422
49,356.5861530303955,0.13741419733655005
50,363.37274861335754,0.13759975174473502
51,370.0872530937195,0.13780534069646802
52,377.015504360199,0.13792536221618998
53,383.76916456222534,0.13810385224789587
54,390.61260986328125,0.13824438493908478
55,397.34427094459534,0.13841900845644522
56,404.1661591529846,0.13855687501734387
57,410.89846658706665,0.13872040086555562
58,417.8912284374237,0.13879209720881971
59,424.62094831466675,0.13894745474563316
60,431.3732318878174,0.1390906889085866
61,438.05161786079407,0.1392529955668029
62,444.9874515533447,0.13932977162293642
63,451.83476161956787,0.13943150317647368
64,458.7867658138275,0.1394983569032825
65,465.5029489994049,0.1396339166910049
66,472.3367109298706,0.13973082860755923
67,478.8726632595062,0.13991193304699454
68,485.6974821090698,0.14000484355965778
69,492.4253795146942,0.14012275335605648
70,499.1839487552643,0.14022886788436983
71,505.8898296356201,0.14034676295259688
72,512.7619762420654,0.1404160279739817
73,519.5296280384064,0.14051171686902034
74,526.3634080886841,0.14058728031400722
75,532.9662752151489,0.1407218495574112
76,539.7933990955353,0.14079460795064141
77,546.4742050170898,0.14090326550288312
78,553.2268102169037,0.14099099783218846
79,559.8177506923676,0.1411173545359984
80,566.602570772171,0.14119244092199457
81,573.2086741924286,0.14130979457719783
82,580.0711326599121,0.14136197335659434
83,586.7379574775696,0.1414600827204417
84,593.4598982334137,0.14154284097383438
85,600.0972473621368,0.1416437092048609
86,607.0486061573029,0.14166905109030933
87,613.7193455696106,0.14175860778716826
88,620.4996709823608,0.14182118720656275
89,627.2834010124207,0.1418816436978184
90,634.0938503742218,0.1419348254944988
91,640.797580242157,0.14201052376884937
92,647.5764427185059,0.14206816976508108
93,654.1966621875763,0.14215908667130178
94,661.2143721580505,0.14216266911017947
95,668.1197953224182,0.14219006930359745
96,674.8787517547607,0.1422477737673459
97,681.4983251094818,0.14233343858096362
98,688.3833649158478,0.1423625337198265
99,695.079972743988,0.14242965397085855
100,702.101845741272,0.14242947886630467
