timestamp,gpu_util,gpu_mem
1718729258.8859591,26.0,487.0
1718729259.0231287,25.0,487.0
1718729259.1696546,23.0,499.0
1718729259.3191178,32.0,922.0
1718729259.4811766,32.0,996.0
1718729259.631211,10.0,996.0
1718729259.7709177,2.0,996.0
1718729259.9132726,2.0,996.0
1718729260.0517135,2.0,996.0
1718729260.1908126,2.0,996.0
1718729260.3314235,2.0,996.0
1718729260.4607494,2.0,996.0
1718729260.5979095,2.0,996.0
1718729260.7341058,2.0,996.0
1718729260.876426,2.0,996.0
1718729261.0123,2.0,996.0
1718729261.1447542,2.0,996.0
1718729261.2776756,2.0,996.0
1718729261.411858,2.0,998.0
1718729261.5464144,2.0,998.0
1718729261.6792226,2.0,998.0
1718729261.810705,2.0,998.0
1718729261.9468794,2.0,998.0
1718729262.0796273,2.0,998.0
1718729262.2144,1.0,998.0
1718729262.3495586,2.0,998.0
1718729262.485398,2.0,998.0
1718729262.6238914,2.0,998.0
1718729262.7627695,2.0,998.0
1718729262.8950658,2.0,998.0
1718729263.0319757,2.0,998.0
1718729263.1633084,1.0,998.0
1718729263.2937336,1.0,998.0
1718729263.4316819,2.0,998.0
1718729263.5669506,2.0,998.0
1718729263.6996894,2.0,998.0
1718729263.8349166,2.0,998.0
1718729263.967558,2.0,998.0
1718729264.1031063,2.0,998.0
1718729264.2390764,1.0,998.0
1718729264.374426,2.0,998.0
1718729264.5062044,2.0,998.0
1718729264.6427927,2.0,998.0
1718729264.774681,2.0,998.0
1718729264.9086072,2.0,998.0
1718729265.0405667,2.0,998.0
1718729265.1760576,1.0,998.0
1718729265.307482,1.0,998.0
1718729265.4460766,2.0,998.0
1718729265.5824459,2.0,998.0
1718729265.7119915,2.0,998.0
1718729265.844335,2.0,998.0
1718729265.9806526,2.0,998.0
1718729266.1136382,2.0,998.0
1718729266.2486758,1.0,998.0
1718729266.3770669,2.0,998.0
1718729266.5089076,2.0,998.0
1718729266.6445208,2.0,998.0
1718729266.7808459,2.0,998.0
1718729266.9169562,2.0,998.0
1718729267.0491204,2.0,998.0
1718729267.182509,1.0,998.0
1718729267.3181105,1.0,998.0
1718729267.4507184,2.0,998.0
1718729267.5792494,2.0,998.0
1718729267.7098174,2.0,998.0
1718729267.8421583,2.0,998.0
1718729267.9748945,1.0,998.0
1718729268.1102095,1.0,998.0
1718729268.2451408,2.0,998.0
1718729268.3828557,2.0,998.0
1718729268.51409,2.0,998.0
1718729268.6487272,2.0,998.0
1718729268.7834592,2.0,998.0
1718729268.9170394,2.0,998.0
1718729269.049854,1.0,998.0
1718729269.185277,2.0,998.0
1718729269.3199718,2.0,998.0
1718729269.4490683,2.0,998.0
1718729269.5770304,2.0,998.0
1718729269.7063842,2.0,998.0
1718729269.837337,2.0,998.0
1718729269.968993,1.0,998.0
1718729270.1054704,1.0,998.0
1718729270.2367418,2.0,998.0
1718729270.3728778,2.0,998.0
1718729270.5079393,2.0,998.0
1718729270.6459522,2.0,998.0
1718729270.7819538,2.0,998.0
1718729270.9118044,2.0,998.0
1718729271.045092,1.0,998.0
1718729271.1789942,2.0,998.0
1718729271.3157148,2.0,998.0
1718729271.4498243,2.0,998.0
1718729271.585854,2.0,998.0
1718729271.7185,2.0,998.0
1718729271.8544958,2.0,998.0
1718729271.986566,1.0,998.0
1718729272.1205351,1.0,998.0
1718729272.2562878,2.0,998.0
1718729272.3913035,2.0,998.0
1718729272.5250316,2.0,998.0
1718729272.658754,2.0,998.0
1718729272.7877817,2.0,998.0
1718729272.9183626,2.0,998.0
1718729273.0539546,1.0,998.0
1718729273.187605,2.0,998.0
1718729273.3220527,2.0,998.0
1718729273.4583645,2.0,998.0
1718729273.5911746,2.0,998.0
1718729273.725086,2.0,998.0
1718729273.8590794,2.0,998.0
1718729273.9967113,1.0,998.0
1718729274.1295838,2.0,998.0
1718729274.2655945,2.0,998.0
1718729274.398119,2.0,998.0
1718729274.531735,2.0,998.0
1718729274.6656785,2.0,998.0
1718729274.7935784,1.0,998.0
1718729274.9252663,1.0,998.0
1718729275.061156,2.0,998.0
1718729275.194245,2.0,998.0
1718729275.369188,2.0,998.0
