timestamp,gpu_util,gpu_mem
1719325917.5807347,0.0,4.0
1719325917.7164686,0.0,4.0
1719325917.8486834,0.0,4.0
1719325917.9848952,0.0,21.0
1719325918.131483,0.0,633.0
1719325918.2636235,7.0,633.0
1719325918.4032202,0.0,633.0
1719325918.5432053,0.0,633.0
1719325918.669805,0.0,633.0
1719325918.7959342,0.0,633.0
1719325918.9228232,0.0,633.0
1719325919.0512471,0.0,633.0
1719325919.177087,0.0,633.0
1719325919.3028154,0.0,633.0
1719325919.4286225,0.0,633.0
1719325919.5554307,0.0,633.0
1719325919.6838648,0.0,633.0
1719325919.8095183,0.0,633.0
1719325919.9348025,0.0,633.0
1719325920.0603623,0.0,633.0
1719325920.1860464,0.0,633.0
1719325920.3117788,0.0,633.0
1719325920.4383051,0.0,633.0
1719325920.5637445,0.0,633.0
1719325920.6895893,0.0,633.0
1719325920.8152072,0.0,633.0
1719325920.9410205,0.0,633.0
1719325921.0667076,0.0,633.0
1719325921.1924808,0.0,633.0
1719325921.3181503,0.0,633.0
1719325921.4457183,0.0,633.0
1719325921.5720441,0.0,633.0
1719325921.697679,0.0,633.0
1719325921.8233652,0.0,633.0
1719325921.9491694,0.0,633.0
1719325922.07582,0.0,633.0
1719325922.2039435,0.0,633.0
1719325922.3301659,0.0,633.0
1719325922.4558148,0.0,633.0
1719325922.5819452,0.0,633.0
1719325922.7074647,0.0,633.0
1719325922.8343458,0.0,633.0
1719325922.96201,0.0,633.0
1719325923.0873108,0.0,633.0
1719325923.2127512,0.0,633.0
1719325923.3383327,0.0,633.0
1719325923.4638364,0.0,633.0
1719325923.5915606,0.0,633.0
1719325923.7188027,0.0,633.0
1719325923.844174,0.0,633.0
1719325923.9778092,0.0,633.0
1719325924.1040673,0.0,633.0
1719325924.2313752,0.0,633.0
1719325924.3567708,0.0,633.0
1719325924.4824681,0.0,633.0
1719325924.6085896,0.0,633.0
1719325924.7343335,0.0,633.0
1719325924.8596199,0.0,633.0
1719325924.9879675,0.0,633.0
1719325925.1135447,0.0,633.0
1719325925.2394195,0.0,633.0
1719325925.3654222,0.0,633.0
1719325925.4906714,0.0,633.0
1719325925.6168816,0.0,633.0
1719325925.7431624,0.0,633.0
1719325925.8704019,0.0,633.0
1719325925.9960833,0.0,633.0
1719325926.1219323,0.0,633.0
1719325926.247819,0.0,633.0
1719325926.3740003,0.0,633.0
1719325926.49958,0.0,633.0
1719325926.6266108,0.0,633.0
1719325926.7534783,0.0,633.0
1719325926.879123,0.0,633.0
1719325927.0044308,0.0,633.0
1719325927.1298027,0.0,633.0
1719325927.2550328,0.0,633.0
1719325927.3802342,0.0,633.0
1719325927.5066745,0.0,633.0
1719325927.6330817,0.0,633.0
1719325927.7603433,0.0,633.0
1719325927.8857713,0.0,633.0
1719325928.0114818,0.0,633.0
1719325928.1373355,0.0,633.0
1719325928.2629056,0.0,633.0
1719325928.3895316,0.0,633.0
1719325928.5180361,0.0,633.0
1719325928.643596,0.0,633.0
1719325928.7691553,0.0,633.0
1719325928.8960254,0.0,633.0
1719325929.0217643,0.0,633.0
1719325929.1490517,0.0,633.0
1719325929.2743576,0.0,633.0
1719325929.3998194,0.0,633.0
1719325929.526248,0.0,633.0
1719325929.6518147,0.0,633.0
1719325929.7775786,0.0,633.0
1719325929.903099,0.0,633.0
1719325930.0295289,0.0,633.0
1719325930.1564896,0.0,633.0
1719325930.2820027,0.0,633.0
1719325930.4073792,0.0,633.0
1719325930.5327795,0.0,633.0
1719325930.6597326,0.0,633.0
1719325930.788003,0.0,633.0
1719325930.9163857,0.0,633.0
1719325931.043201,0.0,633.0
1719325931.1713893,0.0,633.0
1719325931.29945,0.0,633.0
1719325931.4282799,0.0,633.0
1719325931.555999,0.0,633.0
1719325931.681682,0.0,633.0
1719325931.8075538,0.0,633.0
1719325931.934187,0.0,633.0
1719325932.0623937,0.0,633.0
1719325932.1876583,0.0,633.0
1719325932.3130643,0.0,633.0
1719325932.4386194,0.0,633.0
1719325932.5650883,0.0,633.0
1719325932.6903262,0.0,633.0
1719325932.816657,0.0,633.0
1719325932.9429357,0.0,633.0
1719325933.0684648,0.0,633.0
1719325933.1940112,0.0,633.0
1719325933.3200195,0.0,633.0
1719325933.4458396,0.0,633.0
1719325933.5722706,0.0,633.0
1719325933.6993108,0.0,633.0
1719325933.8269136,0.0,633.0
1719325933.9521754,0.0,633.0
1719325934.0775137,0.0,633.0
1719325934.2031283,0.0,633.0
1719325934.3285942,0.0,633.0
1719325934.4540536,0.0,633.0
1719325934.5815306,0.0,633.0
1719325934.7082171,0.0,633.0
1719325934.8339293,0.0,633.0
1719325934.95922,0.0,633.0
1719325935.0845215,0.0,633.0
1719325935.2101808,0.0,633.0
1719325935.3362374,0.0,633.0
1719325935.462857,0.0,633.0
1719325935.5897045,0.0,633.0
1719325935.7154036,0.0,633.0
1719325935.8414292,0.0,633.0
1719325935.9673283,0.0,633.0
1719325936.0931826,0.0,633.0
1719325936.2199342,0.0,633.0
1719325936.3479912,0.0,633.0
1719325936.4737232,0.0,633.0
1719325936.6006262,0.0,633.0
1719325936.7265832,0.0,633.0
1719325936.853511,0.0,633.0
1719325936.9834652,0.0,633.0
1719325937.1093035,0.0,633.0
1719325937.2350657,0.0,633.0
1719325937.3612173,0.0,633.0
1719325937.4888499,0.0,633.0
1719325937.6167977,0.0,633.0
1719325937.7431118,0.0,633.0
