time,dice,epoch,samples_read
1719339007.4908037,-16.806310653686523,0,1
1719339010.320516,-16.752588272094727,0,2
1719339014.5192778,-16.68305206298828,0,3
1719339018.6572337,-16.62738037109375,0,4
1719339022.7862096,-16.663366317749023,0,5
1719339026.9346921,-16.65410804748535,0,6
1719339030.9869215,-16.62616729736328,0,7
1719339035.150535,-16.73396110534668,0,8
1719339039.277122,-16.605310440063477,0,9
1719339043.4512444,-16.582929611206055,0,10
1719339047.6885178,-16.528894424438477,0,11
1719339051.9807801,-16.562040328979492,0,12
1719339056.1271057,-16.377260208129883,0,13
1719339060.3455293,-16.512094497680664,0,14
1719339064.6038563,-16.61832046508789,0,15
1719339068.7816312,-16.499479293823242,0,16
1719339072.9813125,-16.44487953186035,0,17
1719339077.2148328,-16.528413772583008,0,18
1719339081.4150944,-16.506567001342773,0,19
1719339085.557604,-16.49211311340332,0,20
1719339089.757253,-16.37700653076172,0,21
1719339093.9492576,-16.37915802001953,0,22
1719339098.1548235,-16.45732879638672,0,23
1719339102.2917473,-16.395267486572266,0,24
1719339106.3680477,-16.33437728881836,0,25
1719339110.5210369,-16.312519073486328,0,26
1719339114.6478808,-16.71867561340332,0,27
1719339118.841544,-16.44602394104004,0,28
1719339123.0058086,-16.432130813598633,0,29
1719339127.2763977,-16.369277954101562,0,30
1719339131.3858778,-16.285215377807617,0,31
1719339135.5786483,-16.22064208984375,0,32
1719339139.6778536,-16.369670867919922,0,33
1719339143.8343642,-16.351226806640625,0,34
1719339147.939314,-16.25225830078125,0,35
1719339152.0704248,-16.336097717285156,0,36
1719339156.2271178,-16.30839729309082,0,37
1719339160.4863844,-16.29948616027832,0,38
1719339164.5501227,-16.36646270751953,0,39
1719339168.6682386,-16.325538635253906,0,40
1719339172.879545,-16.309078216552734,0,41
1719339177.07658,-16.387752532958984,0,42
1719339181.2076948,-16.39727210998535,0,43
1719339185.3564823,-16.38248062133789,0,44
1719339189.4916892,-16.39333724975586,0,45
1719339193.610807,-16.206295013427734,0,46
1719339197.781572,-16.18456268310547,0,47
1719339201.9584706,-16.30830192565918,0,48
1719339206.094003,-16.241626739501953,0,49
1719339210.2737713,-16.187795639038086,0,50
1719339214.4041984,-16.350271224975586,0,51
1719339218.5613022,-16.185836791992188,0,52
1719339222.685082,-16.243907928466797,0,53
1719339226.872706,-16.10585594177246,0,54
1719339230.9574609,-16.13667106628418,0,55
1719339235.1691175,-16.178316116333008,0,56
1719339239.3921888,-16.30843162536621,0,57
1719339243.588501,-16.226593017578125,0,58
1719339247.681167,-16.155973434448242,0,59
1719339251.9125075,-16.2846736907959,0,60
1719339256.060395,-16.28952407836914,0,61
1719339260.3205838,-16.215272903442383,0,62
1719339264.4126954,-16.236251831054688,0,63
1719339268.6438546,-16.20730209350586,0,64
1719339272.8180022,-16.130859375,0,65
1719339277.0205448,-16.277706146240234,0,66
1719339281.254607,-16.301273345947266,0,67
